Ichnotaxon	No.	Assignment	Age (Ma)	Body or tail drag marks	PL _max
Batrachichnus isp. TM (McAlester Fm)	1	Temnospondyli	308.5	0	23.5
Batrachichnus salamandroides TM (Thuringian Forest)	2	Temnospondyli	294	0.090909090909091	21
Limnopus vagus TM (Pittsburgh Fm/Howard Fm)	3	Temnospondyli (Eryopidae?)	301.5	0.333333333333333	124
Hylopus isp. TM (Mauch Chunk Fm)	4	basal Reptiliomorpha	327	NA	57
Amphisauropus kablikae TM (Thuringian Forest)	5	Seymouriamorpha	294	0.434782608695652	71
Matthewichnus caudifer TM (Pottsville Fm)	6	Lepospondyli („Microsauria“)	318.5	1	18.7
Matthewichnus caudifer TM (Robledo Mts. Fm)	7	Lepospondyli („Microsauria“)	288.5	NA	19.3
Ichniotherium praesidentis TM (Bochum Fm)	8	basal Diadectomorpha	314.5	NA	150.3
Ichniotherium sphaerodactylum TM (Thuringian Forest)	9	Orobates pabsti	288.5	0.03030303030303	128.3
Ichniotherium cottae TM (Salop Fm)	10	Diadectidae	310	NA	117.8
Ichniotherium cottae TM (Pittsburgh Fm)	11	Diadectidae	301.5	NA	157.9
Ichniotherium cottae TM (Maroon Fm)	12	Diadectidae	294.5	0	130.7
Ichniotherium cottae TM (Thuringian Forest, GB type)	13	Diadectidae	294.5	0	133
Ichniotherium cottae TM (Thuringian Forest, Brom type)	14	Diadectes absitus	288.5	0.083333333333333	84
Dimetropus isp. TM (Bochum Fm)	15	Pelycosauria	314.5	NA	140.3
Tambachichnium schmidti TM (Thuringian Forest)	16	Varanopidae	288.5	0	93
Dimetropus leisnerianus TM (Thuringian Forest)	17	Pelycosauria	288.5	0.625	92
Erpetopus willistoni TM (Choza Fm)	18	Parareptilia	276	0	14
Varanopus microdactylus TM (Thuringian Forest)	19	Captorhinidae	292	0	30
Hyloidichnus bifurcatus TM (Rabejac Fm/ Hermit Fm)	20	Captorhinidae	285.5	0	85
Notalacerta missouriensis TM (McAlester Fm)	21	Protorothyrididae	309	1	23
Dromopus lacertoides TM (Thuringian Forest)	22	Diapsida	293.5	0	58.5
